	MPG	Cylinders	Horsepower	Weight	Acceleration	Year	Origin
car 91	13	8	150	4464	12	73	1
car 92	13	8	158	4363	13	73	1
car 93	14	8	150	4237	14.5	73	1
car 94	13	8	215	4735	11	73	1
car 95	12	8	225	4951	11	73	1
car 96	13	8	175	3821	11	73	1
car 97	18	6	105	3121	16.5	73	1
car 98	16	6	100	3278	18	73	1
car 99	18	6	100	2945	16	73	1
car 100	18	6	88	3021	16.5	73	1
car 101	23	6	95	2904	16	73	1
car 102	26	4	46	1950	21	73	2
car 103	11	8	150	4997	14	73	1
car 104	12	8	167	4906	12.5	73	1
car 105	13	8	170	4654	13	73	1
car 106	12	8	180	4499	12.5	73	1
car 107	18	6	100	2789	15	73	1
car 108	20	4	88	2279	19	73	3
car 109	21	4	72	2401	19.5	73	1
car 110	22	4	94	2379	16.5	73	3
car 111	18	3	90	2124	13.5	73	3
car 112	19	4	85	2310	18.5	73	1
car 113	21	6	107	2472	14	73	1
car 114	26	4	90	2265	15.5	73	2
car 115	15	8	145	4082	13	73	1
car 116	16	8	230	4278	9.5	73	1
car 117	29	4	49	1867	19.5	73	2
car 118	24	4	75	2158	15.5	73	2
car 119	20	4	91	2582	14	73	2
car 120	19	4	112	2868	15.5	73	2
car 121	15	8	150	3399	11	73	1
car 122	24	4	110	2660	14	73	2
car 123	20	6	122	2807	13.5	73	3
car 124	11	8	180	3664	11	73	1
car 125	20	6	95	3102	16.5	74	1
car 126	19	6	100	2901	16	74	1
car 127	15	6	100	3336	17	74	1
car 128	31	4	67	1950	19	74	3
car 129	26	4	80	2451	16.5	74	1
car 130	32	4	65	1836	21	74	3
car 131	25	4	75	2542	17	74	1
car 132	16	6	100	3781	17	74	1
car 133	16	6	110	3632	18	74	1
car 134	18	6	105	3613	16.5	74	1
car 135	16	8	140	4141	14	74	1
car 136	13	8	150	4699	14.5	74	1
car 137	14	8	150	4457	13.5	74	1
car 138	14	8	140	4638	16	74	1
car 139	14	8	150	4257	15.5	74	1
car 140	29	4	83	2219	16.5	74	2
car 141	26	4	67	1963	15.5	74	2
car 142	26	4	78	2300	14.5	74	2
car 143	31	4	52	1649	16.5	74	3
car 144	32	4	61	2003	19	74	3
car 145	28	4	75	2125	14.5	74	1
car 146	24	4	75	2108	15.5	74	2
car 147	26	4	75	2246	14	74	2
car 148	24	4	97	2489	15	74	3
car 149	26	4	93	2391	15.5	74	3
car 150	31	4	67	2000	16	74	2
car 151	19	6	95	3264	16	75	1
car 152	18	6	105	3459	16	75	1
car 153	15	6	72	3432	21	75	1
car 154	15	6	72	3158	19.5	75	1
car 155	16	8	170	4668	11.5	75	1
car 156	15	8	145	4440	14	75	1
car 157	16	8	150	4498	14.5	75	1
car 158	14	8	148	4657	13.5	75	1
car 159	17	6	110	3907	21	75	1
car 160	16	6	105	3897	18.5	75	1
car 161	15	6	110	3730	19	75	1
car 162	18	6	95	3785	19	75	1
car 163	21	6	110	3039	15	75	1
car 164	20	8	110	3221	13.5	75	1
car 165	13	8	129	3169	12	75	1
car 166	29	4	75	2171	16	75	3
car 167	23	4	83	2639	17	75	1
car 168	20	6	100	2914	16	75	1
car 169	23	4	78	2592	18.5	75	1
car 170	24	4	96	2702	13.5	75	3
car 171	25	4	71	2223	16.5	75	2
car 172	24	4	97	2545	17	75	3
car 173	18	6	97	2984	14.5	75	1
car 174	29	4	70	1937	14	75	2
car 175	19	6	90	3211	17	75	1
car 176	23	4	95	2694	15	75	2
car 177	23	4	88	2957	17	75	2
car 178	22	4	98	2945	14.5	75	2
car 179	25	4	115	2671	13.5	75	2
car 180	33	4	53	1795	17.5	75	3
car 181	28	4	86	2464	15.5	76	2
car 182	25	4	81	2220	16.9	76	2
car 183	25	4	92	2572	14.9	76	1
car 184	26	4	79	2255	17.700001	76	1
car 185	27	4	83	2202	15.3	76	2
car 186	17.5	8	140	4215	13	76	1
car 187	16	8	150	4190	13	76	1
car 188	15.5	8	120	3962	13.9	76	1
car 189	14.5	8	152	4215	12.8	76	1
car 190	22	6	100	3233	15.4	76	1
car 191	22	6	105	3353	14.5	76	1
car 192	24	6	81	3012	17.6	76	1
car 193	22.5	6	90	3085	17.6	76	1
car 194	29	4	52	2035	22.200001	76	1
car 195	24.5	4	60	2164	22.1	76	1
car 196	29	4	70	1937	14.2	76	2
car 197	33	4	53	1795	17.4	76	3
car 198	20	6	100	3651	17.700001	76	1
car 199	18	6	78	3574	21	76	1
car 200	18.5	6	110	3645	16.200001	76	1
car 201	17.5	6	95	3193	17.799999	76	1
car 202	29.5	4	71	1825	12.2	76	2
car 203	32	4	70	1990	17	76	3
car 204	28	4	75	2155	16.4	76	3
car 205	26.5	4	72	2565	13.6	76	1
car 206	20	4	102	3150	15.7	76	2
car 207	13	8	150	3940	13.2	76	1
car 208	19	4	88	3270	21.9	76	2
car 209	19	6	108	2930	15.5	76	3
car 210	16.5	6	120	3820	16.700001	76	2
car 211	16.5	8	180	4380	12.1	76	1
car 212	13	8	145	4055	12	76	1
car 213	13	8	130	3870	15	76	1
car 214	13	8	150	3755	14	76	1
car 215	31.5	4	68	2045	18.5	77	3
car 216	30	4	80	2155	14.8	77	1
car 217	36	4	58	1825	18.6	77	2
car 218	25.5	4	96	2300	15.5	77	1
car 219	33.5	4	70	1945	16.799999	77	3
car 220	17.5	8	145	3880	12.5	77	1
car 221	17	8	110	4060	19	77	1
car 222	15.5	8	145	4140	13.7	77	1
car 223	15	8	130	4295	14.9	77	1
car 224	17.5	6	110	3520	16.4	77	1
car 225	20.5	6	105	3425	16.9	77	1
car 226	19	6	100	3630	17.700001	77	1
car 227	18.5	6	98	3525	19	77	1
car 228	16	8	180	4220	11.1	77	1
car 229	15.5	8	170	4165	11.4	77	1
car 230	15.5	8	190	4325	12.2	77	1
car 231	16	8	149	4335	14.5	77	1
car 232	29	4	78	1940	14.5	77	2
car 233	24.5	4	88	2740	16	77	1
car 234	26	4	75	2265	18.200001	77	3
car 235	25.5	4	89	2755	15.8	77	1
car 236	30.5	4	63	2051	17	77	1
car 237	33.5	4	83	2075	15.9	77	1
car 238	30	4	67	1985	16.4	77	3
car 239	30.5	4	78	2190	14.1	77	2
car 240	22	6	97	2815	14.5	77	3
car 241	21.5	4	110	2600	12.8	77	2
car 242	21.5	3	110	2720	13.5	77	3
car 243	43.099998	4	48	1985	21.5	78	2
car 244	36.099998	4	66	1800	14.4	78	1
car 245	32.799999	4	52	1985	19.4	78	3
car 246	39.400002	4	70	2070	18.6	78	3
car 247	36.099998	4	60	1800	16.4	78	3
car 248	19.9	8	110	3365	15.5	78	1
car 249	19.4	8	140	3735	13.2	78	1
car 250	20.200001	8	139	3570	12.8	78	1
car 251	19.200001	6	105	3535	19.200001	78	1
car 252	20.5	6	95	3155	18.200001	78	1
car 253	20.200001	6	85	2965	15.8	78	1
car 254	25.1	4	88	2720	15.4	78	1
car 255	20.5	6	100	3430	17.200001	78	1
car 256	19.4	6	90	3210	17.200001	78	1
car 257	20.6	6	105	3380	15.8	78	1
car 258	20.799999	6	85	3070	16.700001	78	1
car 259	18.6	6	110	3620	18.700001	78	1
car 260	18.1	6	120	3410	15.1	78	1
car 261	19.200001	8	145	3425	13.2	78	1
car 262	17.700001	6	165	3445	13.4	78	1
car 263	18.1	8	139	3205	11.2	78	1
car 264	17.5	8	140	4080	13.7	78	1
car 265	30	4	68	2155	16.5	78	1
car 266	27.5	4	95	2560	14.2	78	3
car 267	27.200001	4	97	2300	14.7	78	3
car 268	30.9	4	75	2230	14.5	78	1
car 269	21.1	4	95	2515	14.8	78	3
car 270	23.200001	4	105	2745	16.700001	78	1
car 271	23.799999	4	85	2855	17.6	78	1
car 272	23.9	4	97	2405	14.9	78	3
car 273	20.299999	5	103	2830	15.9	78	2
car 274	17	6	125	3140	13.6	78	2
car 275	21.6	4	115	2795	15.7	78	2
car 276	16.200001	6	133	3410	15.8	78	2
car 277	31.5	4	71	1990	14.9	78	2
car 278	29.5	4	68	2135	16.6	78	3
car 279	21.5	6	115	3245	15.4	79	1
car 280	19.799999	6	85	2990	18.200001	79	1
car 281	22.299999	4	88	2890	17.299999	79	1
car 282	20.200001	6	90	3265	18.200001	79	1
car 283	20.6	6	110	3360	16.6	79	1
car 284	17	8	130	3840	15.4	79	1
car 285	17.6	8	129	3725	13.4	79	1
car 286	16.5	8	138	3955	13.2	79	1
car 287	18.200001	8	135	3830	15.2	79	1
car 288	16.9	8	155	4360	14.9	79	1
car 289	15.5	8	142	4054	14.3	79	1
car 290	19.200001	8	125	3605	15	79	1
car 291	18.5	8	150	3940	13	79	1
car 292	31.9	4	71	1925	14	79	2
car 293	34.099998	4	65	1975	15.2	79	3
car 294	35.700001	4	80	1915	14.4	79	1
car 295	27.4	4	80	2670	15	79	1
car 296	25.4	5	77	3530	20.1	79	2
car 297	23	8	125	3900	17.4	79	1
car 298	27.200001	4	71	3190	24.799999	79	2
car 299	23.9	8	90	3420	22.200001	79	1
car 300	34.200001	4	70	2200	13.2	79	1
car 301	34.5	4	70	2150	14.9	79	1
car 302	31.799999	4	65	2020	19.200001	79	3
car 303	37.299999	4	69	2130	14.7	79	2
car 304	28.4	4	90	2670	16	79	1
car 305	28.799999	6	115	2595	11.3	79	1
car 306	26.799999	6	115	2700	12.9	79	1
car 307	33.5	4	90	2556	13.2	79	1
car 308	41.5	4	76	2144	14.7	80	2
car 309	38.099998	4	60	1968	18.799999	80	3
car 310	32.099998	4	70	2120	15.5	80	1
car 311	37.200001	4	65	2019	16.4	80	3
car 312	28	4	90	2678	16.5	80	1
car 313	26.4	4	88	2870	18.1	80	1
car 314	24.299999	4	90	3003	20.1	80	1
car 315	19.1	6	90	3381	18.700001	80	1
car 316	34.299999	4	78	2188	15.8	80	2
car 317	29.799999	4	90	2711	15.5	80	3
car 318	31.299999	4	75	2542	17.5	80	3
car 319	37	4	92	2434	15	80	3
car 320	32.200001	4	75	2265	15.2	80	3
car 321	46.599998	4	65	2110	17.9	80	3
car 322	27.9	4	105	2800	14.4	80	1
car 323	40.799999	4	65	2110	19.200001	80	3
car 324	44.299999	4	48	2085	21.700001	80	2
car 325	43.400002	4	48	2335	23.700001	80	2
car 326	36.400002	5	67	2950	19.9	80	2
car 327	30	4	67	3250	21.799999	80	2
car 328	44.599998	4	67	1850	13.8	80	3
car 329	33.799999	4	67	2145	18	80	3
car 330	29.799999	4	62	1845	15.3	80	2
car 331	32.700001	6	132	2910	11.4	80	3
car 332	23.700001	3	100	2420	12.5	80	3
car 333	35	4	88	2500	15.1	80	2
car 334	32.400002	4	72	2290	17	80	3
car 335	27.200001	4	84	2490	15.7	81	1
car 336	26.6	4	84	2635	16.4	81	1
car 337	25.799999	4	92	2620	14.4	81	1
car 338	23.5	6	110	2725	12.6	81	1
car 339	30	4	84	2385	12.9	81	1
car 340	39.099998	4	58	1755	16.9	81	3
car 341	39	4	64	1875	16.4	81	1
car 342	35.099998	4	60	1760	16.1	81	3
car 343	32.299999	4	67	2065	17.799999	81	3
car 344	37	4	65	1975	19.4	81	3
car 345	37.700001	4	62	2050	17.299999	81	3
car 346	34.099998	4	68	1985	16	81	3
car 347	34.700001	4	63	2215	14.9	81	1
car 348	34.400002	4	65	2045	16.200001	81	1
car 349	29.9	4	65	2380	20.700001	81	1
car 350	33	4	74	2190	14.2	81	2
car 351	33.700001	4	75	2210	14.4	81	3
car 352	32.400002	4	75	2350	16.799999	81	3
car 353	32.900002	4	100	2615	14.8	81	3
car 354	31.6	4	74	2635	18.299999	81	3
car 355	28.1	4	80	3230	20.4	81	2
car 356	30.700001	6	76	3160	19.6	81	2
car 357	25.4	6	116	2900	12.6	81	3
car 358	24.200001	6	120	2930	13.8	81	3
car 359	22.4	6	110	3415	15.8	81	1
car 360	26.6	8	105	3725	19	81	1
car 361	20.200001	6	88	3060	17.1	81	1
car 362	17.6	6	85	3465	16.6	81	1
car 363	28	4	88	2605	19.6	82	1
car 364	27	4	88	2640	18.6	82	1
car 365	34	4	88	2395	18	82	1
car 366	31	4	85	2575	16.200001	82	1
car 367	29	4	84	2525	16	82	1
car 368	27	4	90	2735	18	82	1
car 369	24	4	92	2865	16.4	82	1
car 370	36	4	74	1980	15.3	82	2
car 371	37	4	68	2025	18.200001	82	3
car 372	31	4	68	1970	17.6	82	3
car 373	38	4	63	2125	14.7	82	1
car 374	36	4	70	2125	17.299999	82	1
car 375	36	4	88	2160	14.5	82	3
car 376	36	4	75	2205	14.5	82	3
car 377	34	4	70	2245	16.9	82	3
car 378	38	4	67	1965	15	82	3
car 379	32	4	67	1965	15.7	82	3
car 380	38	4	67	1995	16.200001	82	3
car 381	25	6	110	2945	16.4	82	1
car 382	38	6	85	3015	17	82	1
car 383	26	4	92	2585	14.5	82	1
car 384	22	6	112	2835	14.7	82	1
car 385	32	4	96	2665	13.9	82	3
car 386	36	4	84	2370	13	82	1
car 387	27	4	90	2950	17.299999	82	1
car 388	27	4	86	2790	15.6	82	1
car 389	44	4	52	2130	24.6	82	2
car 390	32	4	84	2295	11.6	82	1
car 391	28	4	79	2625	18.6	82	1
car 392	31	4	82	2720	19.4	82	1
